district_id;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
1001;491.5;2.4;176.5;92550;24.2;5.4
1002;452.8;2.2;191.4;247717;28.9;5
1003;468.5;1.8;255.1;218095;23;6.6
1004;546.3;2.4;180.9;79502;14.6;9.4
1051;619.3;1.9;583;135252;12;8.8
1053;594.9;2;341;203712;15.8;8.4
1054;632.5;3.1;823.6;169043;17;5.2
1055;643.1;1.9;614.6;203606;15.5;7
1056;561.7;2.2;326.9;322130;18;6.9
1057;625.3;2.4;570;131266;19;6.3
1058;638.7;2.4;720.9;278979;18.4;6.4
1059;642;2.6;797.9;206038;16.4;5.9
1060;605.2;2.2;462.3;284988;15.9;7.6
1061;628.5;1.9;718.9;132419;15.3;8
1062;628.9;2.3;376.9;247973;18.3;6.6
2000;430.1;2.5;226.4;1892122;24.9;5
3101;576.4;4.9;209.9;251804;24;5.9
3102;542.5;1.3;236.7;104548;8.9;13.5
3103;1003.8;3.9;203.6;125961;12.8;9.3
3151;612.2;2.6;413.8;180232;13.1;10.5
3153;602.1;1.6;348.5;134672;11.9;9.2
3154;614.8;2.2;355.9;92470;11.4;9.2
3155;669.5;1.9;787.4;133258;12;8
3157;622.7;2.2;277.4;138931;13.1;9
3158;631.9;2.2;300.2;120531;15.3;7.5
3159;566.2;2;355.1;328458;19;6.4
3241;507.2;2.1;246.6;1173891;20.6;6.7
3251;647.8;2.1;883.8;222816;14.6;7
3252;623;1.8;386.4;150640;14.3;8.9
3254;587.3;1.9;397.6;278371;16.6;7.6
3255;641.9;1.5;504;70911;11.3;9
3256;640.6;1.9;729;123469;13.1;8.6
3257;648.4;2.1;592.4;159960;14.6;8.7
3351;614.9;1.8;500.6;181994;13.9;9.5
3352;637.2;1.5;1495.4;201413;13;7.7
3353;650.4;2.1;352.1;261890;16.7;7.3
3354;640.8;1.7;6977.7;49178;19.8;7.1
3355;569.4;2.2;418.2;187552;22.7;6.5
3356;638.8;2;784.1;116551;16;7.3
3357;690.9;2;915.2;167604;13.6;7.1
3358;620.3;1.7;1036.8;145394;12.8;8.5
3359;609.3;1.9;546;210306;14.9;7.8
3360;614.3;2.1;760.3;94362;14.1;8.6
3361;626.6;1.9;476.8;140913;16.2;7.8
3401;548.8;1.3;190.9;78385;12.8;10.2
3402;502.7;2.4;195.7;50535;15.5;8.1
